#{"t_start": 1770597841.356516, "env_id": "AdroitHandRelocate-v1"}
r,l,t,success,lifted,dist_to_target
33.0,100,1429.352553,False,False,0.113395356309632
-126.9,100,1431.040641,False,False,0.9531851144471108
100.242026,100,1432.849469,False,False,0.38828216161692775
43.4,100,1435.373474,False,False,0.32924408485174583
27.2,100,1437.319788,False,False,0.49770249522008014
43.8,100,1439.225562,False,False,0.14139664561433787
20.3,100,1441.282385,False,False,0.35519582640513536
37.4,100,1443.200413,False,False,0.3568398231350842
28.8,100,1445.186058,False,False,0.48480247001453086
169.746515,100,1447.133456,False,False,0.2911146338942286
15.7,100,1449.009424,False,False,0.3484955778594928
18.1,100,1451.03751,False,False,0.34507255920726965
39.1,100,1452.943196,False,False,0.2915004037981258
22.3,100,1454.678755,False,False,0.28335377882447993
40.5,100,1456.300082,False,False,0.12265927536346029
28.5,100,1458.019223,False,False,0.37902395162229535
-244.5,100,1459.781302,False,False,1.566930444115189
2.7,100,1461.499539,False,False,0.7816801559494914
26.7,100,1463.29998,False,False,0.2053461922441566
-161.0,100,1464.94557,False,False,1.6728089137790247
-249.1,100,1467.096571,False,False,1.4575335273652708
-64.5,100,1469.240867,False,False,1.080607867086021
-182.2,100,1471.398256,False,False,1.3036732959302126
36.7,100,1474.13244,False,False,0.2821040112262688
-207.8,100,1476.225245,False,False,3.0803036440617095
-83.9,100,1478.016706,False,False,1.842025854001109
-288.5,100,1479.954023,False,False,1.2993392511401989
-80.6,100,1482.40169,False,False,1.6522340707362917
-111.839426,100,1485.347715,False,False,1.5303282109695895
-273.599858,100,1487.516528,False,False,1.955501520390304
-59.774558,100,1490.008626,False,False,1.5806756551899144
63.193494,100,1491.96912,False,False,0.5392127690832409
84.490611,100,1493.908469,False,False,0.38844712437261947
-250.436465,100,1495.776852,False,False,1.314286990478025
33.9,100,1497.569869,False,False,0.1410860604883124
-317.4,100,1499.184086,False,False,2.0871662937274063
-184.5,100,1500.796777,False,False,1.5557644711700545
32.2,100,1502.49195,False,False,0.5272724600086298
43.4,100,1504.19407,False,False,0.2815383612843039
37.6,100,1506.036561,False,False,0.2667258627942737
-250.7,100,1507.448834,False,False,2.2558370811140662
-251.6,100,1508.873587,False,False,1.5997078935649476
27.4,100,1510.323388,False,False,0.5222171470066064
30.1,100,1512.611685,False,False,0.4159468528412288
42.3,100,1514.169057,False,False,0.36656046384814794
28.7,100,1515.657432,False,False,0.16469557348927938
29.9,100,1517.148299,False,False,0.40104618491877325
-126.1,100,1518.623718,False,False,1.816320480872063
37.5,100,1520.503376,False,False,0.2834164845407905
31.6,100,1522.275699,False,False,0.32499993447808384
29.8,100,1524.297487,False,False,0.5163467850982218
56.0,15,1524.546773,True,False,0.09951216299072903
26.3,100,1526.103596,False,False,0.6297450177770155
