#{"t_start": 1770594585.9085808, "env_id": "AdroitHandRelocate-v1"}
r,l,t
28.4,100,654.535444
-19.607738,100,655.476383
28.4,100,656.363567
26.8,100,657.294291
-39.485588,100,658.197456
23.9,100,659.125552
23.6,100,660.069329
21.8,100,660.828691
98.99313,100,661.629522
42.0,100,662.886833
43.3,100,663.649758
47.6,100,664.400137
45.5,100,665.249085
46.3,100,666.025328
46.0,100,666.859584
47.2,100,667.722328
74.834164,100,668.509101
47.5,100,669.335338
35.0,100,670.164307
47.8,100,670.936669
-236.9,100,671.683945
-14.198192,100,672.519919
24.6,100,673.303558
44.1,100,674.065872
34.3,100,674.879827
30.3,100,675.620638
23.0,100,676.36594
46.8,100,677.117759
35.3,100,677.937469
23.2,100,679.103104
26.1,100,679.96042
35.3,100,680.763717
42.1,100,681.573589
35.8,100,682.459646
31.1,100,683.258462
28.7,100,684.095627
41.5,100,684.963277
-148.880924,100,685.815639
40.8,100,686.644099
-320.9,100,687.499426
240.711701,100,688.337973
48.4,100,689.176322
-274.141185,100,690.087715
-61.7,100,690.922183
203.883781,100,691.729724
22.7,100,692.578573
14.541548,100,693.433648
-59.0,100,694.231588
75.085825,100,695.122147
28.6,100,696.322092
-91.3,100,697.228504
229.212458,100,698.043612
21.6,100,698.880386
37.0,100,699.802809
-152.010084,100,700.671841
-243.4,100,701.567737
-304.2,100,702.458837
46.9,100,703.30005
38.4,100,704.128391
47.0,100,704.941453
45.5,100,705.726487
37.2,100,706.475751
47.6,100,707.299359
31.1,100,708.063815
46.6,100,708.897419
48.2,100,709.743697
45.2,100,710.507248
33.9,100,711.26967
38.1,100,712.071729
47.9,100,713.230063
47.8,100,713.988096
47.5,100,714.851369
34.5,100,715.68346
32.2,100,716.499692
-233.7,100,717.264849
35.6,100,718.036613
47.0,100,718.903497
145.972196,100,719.641803
48.6,100,720.440477
41.3,100,721.295603
-29.588503,100,722.061503
-227.764564,100,722.803447
47.5,100,723.866531
44.8,100,724.933965
25.0,100,725.715765
47.6,100,726.582135
47.7,100,727.438561
46.4,100,728.252758
47.6,100,729.147248
27.9,100,731.065808
